06/16/2021,Hà Tĩnh,01/01/1900,Trưa
06/16/2021,Nghệ An,12/31/1899,Trưa
06/16/2021,Tây Ninh,01/01/1900,Tối
06/16/2021,Kiên Giang,01/01/1900,Tối
06/16/2021,Quảng Nam,12/31/1899,Tối
06/16/2021,Khánh Hòa,12/31/1899,Tối
06/16/2021,Bắc Giang,03/30/1900,Tối
06/16/2021,TP. Hồ Chí Minh,02/13/1900,Tối
06/16/2021,Bắc Ninh,01/09/1900,Tối
06/16/2021,Nghệ An,01/01/1900,Tối
06/16/2021,Hà Nam,12/31/1899,Tối
06/16/2021,Bắc Kạn,12/31/1899,Tối
06/17/2021,Bắc Giang,03/27/1900,Sáng
06/17/2021,TP. Hồ Chí Minh,02/13/1900,Sáng
06/17/2021,Tiền Giang,01/10/1900,Sáng
06/17/2021,Bình Dương,01/06/1900,Sáng
06/17/2021,Bắc Ninh,01/05/1900,Sáng
06/17/2021,Lạng Sơn,12/31/1899,Sáng
06/17/2021,Hà Tĩnh,12/31/1899,Sáng
06/17/2021,Hà Nội,01/03/1900,Trưa
06/17/2021,Quảng Nam,01/01/1900,Trưa
06/17/2021,Kiên Giang,12/31/1899,Trưa
06/17/2021,Hòa Bình,12/31/1899,Trưa
06/17/2021,Bắc Giang,06/26/1900,Trưa
06/17/2021,Hồ Chí Minh,01/29/1900,Trưa
06/17/2021,Tiền Giang,01/01/1900,Trưa
06/17/2021,Hà Tĩnh,12/31/1899,Trưa
06/17/2021,Nghệ An,12/31/1899,Trưa
06/17/2021,Bắc Giang,03/02/1900,Tối
06/17/2021,TP. Hồ Chí Minh,03/02/1900,Tối
06/17/2021,Bắc Ninh,01/05/1900,Tối
06/17/2021,Hà Tĩnh,01/01/1900,Tối
06/17/2021,Lạng Sơn,12/31/1899,Tối
06/18/2021,Đồng Tháp,12/31/1899,Trưa
06/18/2021,Thái Nguyên,12/31/1899,Trưa
06/18/2021,TP. Hồ Chí Minh,02/27/1900,Trưa
06/18/2021,Bắc Giang,02/04/1900,Trưa
06/18/2021,Bình Dương,01/11/1900,Trưa
06/18/2021,Bắc Ninh,01/09/1900,Trưa
06/18/2021,Hòa Bình,12/31/1899,Trưa
06/18/2021,Lào Cai,12/31/1899,Trưa
06/18/2021,Tây Ninh,01/01/1900,Tối
06/18/2021,Quảng Nam,12/31/1899,Tối
06/18/2021,TP. Hồ Chí Minh,01/29/1900,Tối
06/18/2021,Bắc Giang,01/18/1900,Tối
06/18/2021,Bắc Ninh,01/05/1900,Tối
06/18/2021,Hà Tĩnh,01/02/1900,Tối
06/18/2021,Hòa Bình,12/31/1899,Tối
06/19/2021,TP. Hồ Chí Minh,02/08/1900,Sáng
06/19/2021,Bắc Ninh,01/14/1900,Sáng
06/19/2021,Nghệ An,01/12/1900,Sáng
06/19/2021,Bình Dương,01/11/1900,Sáng
06/19/2021,Bắc Giang,01/08/1900,Sáng
06/19/2021,Tiền Giang,01/02/1900,Sáng
06/19/2021,Hà Tĩnh,12/31/1899,Sáng
06/19/2021,Đà Nẵng,12/31/1899,Sáng
06/19/2021,Thanh Hóa,12/31/1899,Trưa
06/19/2021,Hà Nam,12/31/1899,Trưa
06/19/2021,Tây Ninh,12/31/1899,Trưa
06/19/2021,TP. Hồ Chí Minh,03/04/1900,Trưa
06/19/2021,Bắc Giang,01/21/1900,Trưa
06/19/2021,Bắc Ninh,01/13/1900,Trưa
06/19/2021,Long An,01/02/1900,Trưa
06/19/2021,Hòa Bình,01/01/1900,Trưa
06/19/2021,Nghệ An,01/01/1900,Trưa
06/19/2021,Ninh Bình,01/07/1900,Tối
06/19/2021,Đà Nẵng,01/01/1900,Tối
06/19/2021,An Giang,12/31/1899,Tối
06/19/2021,Quảng Nam,12/31/1899,Tối
06/19/2021,TP. Hồ Chí Minh,01/30/1900,Tối
06/19/2021,Bắc Giang,01/17/1900,Tối
06/19/2021,Bình Dương,01/17/1900,Tối
06/19/2021,Bắc Ninh,01/06/1900,Tối
06/19/2021,Đà Nẵng,01/04/1900,Tối
06/19/2021,Long An,01/02/1900,Tối
06/19/2021,Lạng Sơn,01/01/1900,Tối
06/19/2021,Đồng Nai,01/01/1900,Tối
